concurso,acertos,loss
741,9,0.6705430746078491
742,11,0.6586072444915771
743,9,0.6646650433540344
744,7,0.6920692920684814
745,9,0.6844007968902588
746,8,0.682229220867157
747,6,0.6909305453300476
748,11,0.6514467597007751
749,12,0.6436200737953186
750,7,0.691982090473175
751,8,0.6765773892402649
752,9,0.6742671132087708
753,8,0.6822936534881592
754,10,0.6845646500587463
755,7,0.6983253955841064
756,8,0.6687670946121216
757,6,0.7054133415222168
758,7,0.6942187547683716
759,10,0.6723393797874451
760,10,0.6667768359184265
761,10,0.6656439304351807
762,10,0.6728991866111755
763,9,0.6800338625907898
764,9,0.6675742864608765
765,9,0.6722343564033508
766,9,0.6685006618499756
767,8,0.6689485311508179
768,9,0.678366482257843
769,10,0.6817983984947205
770,7,0.690676748752594
771,8,0.6787267923355103
772,8,0.6795499920845032
773,9,0.6731922626495361
774,8,0.6754818558692932
775,12,0.6579440832138062
776,10,0.6683405041694641
777,9,0.6702532172203064
778,8,0.6815699934959412
779,9,0.6684097051620483
780,9,0.6802064776420593
781,9,0.6820101141929626
782,9,0.6733982563018799
783,10,0.6643373966217041
784,10,0.6683834791183472
785,9,0.6736466884613037
786,10,0.6757392883300781
787,10,0.6720833778381348
788,9,0.6802027821540833
789,9,0.6637675762176514
790,9,0.6651008725166321
791,9,0.6791380047798157
792,7,0.6864836812019348
793,9,0.677237868309021
794,9,0.6775054335594177
795,9,0.6787269115447998
796,9,0.6770244836807251
797,8,0.6824527978897095
798,10,0.6596530079841614
799,11,0.6563059091567993
800,10,0.6754963397979736
801,9,0.6758946776390076
802,9,0.6938371062278748
803,8,0.6851288676261902
804,11,0.6663147211074829
805,9,0.6748111248016357
806,10,0.6627229452133179
807,11,0.6693872809410095
808,9,0.6800236701965332
809,7,0.6819256544113159
810,9,0.6734777688980103
811,10,0.6710859537124634
812,10,0.670940101146698
813,11,0.6604015231132507
814,9,0.6764340400695801
815,8,0.674959123134613
816,10,0.6724814772605896
817,10,0.6688961982727051
818,10,0.6647855639457703
819,7,0.6841163635253906
820,10,0.6672709584236145
821,7,0.6874914765357971
822,9,0.6711113452911377
823,12,0.6394608020782471
824,10,0.6685720086097717
825,9,0.6772263050079346
826,9,0.6775286793708801
827,9,0.6764715313911438
828,8,0.6909970045089722
829,10,0.6721267104148865
830,8,0.6908217668533325
831,9,0.6760013699531555
832,10,0.6776838898658752
833,10,0.6794330477714539
834,9,0.67664635181427
835,10,0.676420271396637
836,10,0.6685888767242432
837,8,0.6899065375328064
838,12,0.6558381915092468
839,10,0.6714826226234436
840,9,0.6771156787872314
841,12,0.6551240682601929
842,11,0.6578611135482788
843,8,0.680306613445282
844,11,0.6591173410415649
845,10,0.6668088436126709
846,9,0.6762158274650574
847,8,0.6833864450454712
848,9,0.6752605438232422
849,11,0.6691519021987915
850,9,0.6750576496124268
851,9,0.6753758788108826
852,7,0.6923348903656006
853,7,0.6937217712402344
854,9,0.6689594388008118
855,10,0.6748204827308655
856,9,0.667866587638855
857,9,0.6800077557563782
858,8,0.6767165660858154
859,10,0.665848970413208
860,9,0.6769338846206665
861,9,0.6687822937965393
862,9,0.6751322746276855
863,9,0.6710218191146851
864,10,0.6608496308326721
865,9,0.6689450144767761
866,10,0.6766188740730286
867,9,0.6714771389961243
868,11,0.6620842814445496
869,7,0.6954711079597473
870,9,0.6733782887458801
871,8,0.6863886117935181
872,7,0.6847033500671387
873,8,0.6887774467468262
874,9,0.6777622103691101
875,9,0.6733068823814392
876,9,0.6691568493843079
877,10,0.6692718267440796
878,10,0.670685887336731
879,9,0.6770874261856079
880,8,0.6876575946807861
881,11,0.6506357789039612
882,8,0.6859302520751953
883,9,0.6753504872322083
884,8,0.6978421211242676
885,10,0.6755560040473938
886,9,0.6730520129203796
887,10,0.6652407050132751
888,9,0.6735180616378784
889,8,0.6824988722801208
890,7,0.690335214138031
891,9,0.6728376150131226
892,7,0.6954246759414673
893,9,0.6748619079589844
894,10,0.6693193912506104
895,8,0.6771251559257507
896,7,0.6895250678062439
897,11,0.6687812805175781
898,7,0.6885105967521667
899,10,0.6684731245040894
900,10,0.6661015152931213
901,8,0.6830976605415344
902,7,0.6836691498756409
903,8,0.677432656288147
904,10,0.6713474988937378
905,8,0.6790845990180969
906,9,0.6768807768821716
907,8,0.6756041646003723
908,10,0.6672715544700623
909,8,0.6767106652259827
910,9,0.6749913096427917
911,9,0.6775025129318237
912,10,0.6636176109313965
913,9,0.681755542755127
914,10,0.666506826877594
915,11,0.6648039221763611
916,12,0.6525450348854065
917,8,0.6825822591781616
918,11,0.6657251119613647
919,9,0.6707364916801453
920,9,0.6807299852371216
921,8,0.6879643797874451
922,11,0.6609868407249451
923,7,0.6781629920005798
924,11,0.6690987944602966
925,10,0.6730414628982544
926,8,0.6779924631118774
927,10,0.6750714778900146
928,7,0.6906869411468506
929,6,0.6810545921325684
930,9,0.6698542237281799
931,9,0.6842427253723145
932,9,0.6742846965789795
933,10,0.6721159219741821
934,10,0.6671817898750305
935,8,0.6716466546058655
936,11,0.659627377986908
937,9,0.6742575764656067
938,6,0.6862466335296631
939,10,0.6702175736427307
940,8,0.6880155801773071
941,10,0.6548523902893066
942,9,0.6708144545555115
943,8,0.6761643290519714
944,10,0.6630476117134094
945,7,0.6838586926460266
946,8,0.6866711974143982
947,8,0.6803088188171387
948,9,0.6838094592094421
949,7,0.6880460381507874
950,7,0.6840652227401733
951,11,0.666117787361145
